1749,de,Ancus Marcius
1755,en,Andrew II of Hungary
1755,de,Andreas II. (Ungarn)
1760,en,Andronikos III Palaiologos
1760,de,Andronikos III. (Byzanz)
1761,en,Andronikos II Palaiologos
1761,de,Andronikos II. (Byzanz)
1762,en,Andronikos I Komnenos
1762,de,Andronikos I. (Byzanz)
1767,en,Ammianus Marcellinus
1767,de,Ammianus Marcellinus
1789,en,Apuleius
1789,de,Apuleius
1790,en,Alexander Selkirk
1790,de,Alexander Selkirk
1806,de,Arnold Schwarzenegger
1806,en,Arnold Schwarzenegger
1814,de,Adam Smith
1814,en,Adam Smith
1822,de,Antoine Laurent de Lavoisier
1822,en,Antoine Lavoisier
1828,en,Amitabh Bachchan
1828,de,Amitabh Bachchan
1840,en,Agathocles of Syracuse
1840,de,Agathokles von Syrakus
1842,en,Augustin-Louis Cauchy
1842,de,Augustin Louis Cauchy
1844,de,Archimedes
1844,en,Archimedes
1869,en,Alfred Jarry
1869,de,Alfred Jarry
1873,en,Anthemius of Tralles
1873,de,Anthemios von Tralleis
1923,de,Alessandro Volta
1923,en,Alessandro Volta
1937,de,Alexander Fleming
1937,en,Alexander Fleming
1938,en,Andrew Carnegie
1938,de,Andrew Carnegie
1988,en,Abel Tasman
1988,de,Abel Tasman
2009,en,Alvar Aalto
2009,de,Alvar Aalto
2018,en,A. J. Ayer
2018,de,Alfred Jules Ayer
2021,en,Atle Selberg
2021,de,Atle Selberg
2023,en,Aeschylus
2023,de,Aischylos
2027,en,Andrew Wiles
2027,de,Andrew Wiles
2029,en,Anne BrontÃ«
2029,de,Anne BrontÃ«
2030,de,Augustinus von Hippo
2030,en,Augustine of Hippo
2042,en,Alexander Grothendieck
2042,de,Alexander Grothendieck
2062,de,Amerigo Vespucci
2062,en,Amerigo Vespucci
2063,en,Aristide Maillol
2063,de,Aristide Maillol
2064,en,Antonio Canova
2064,de,Antonio Canova
2065,de,Auguste Rodin
2065,en,Auguste Rodin
2077,en,Adam Weishaupt
2077,de,Adam Weishaupt
2108,en,Adalbert of Prague
2108,de,Adalbert von Prag
2144,en,Aaliyah
2144,de,Aaliyah
2151,en,Anton Drexler
2151,de,Anton Drexler
2176,en,Ahmad Shah Massoud
2176,de,Ahmad Schah Massoud
2180,en,Arcadius
2180,de,Arcadius
2201,en,Aage Bohr
2201,de,Aage Niels Bohr
2238,en,Antipope John XXIII
2238,de,Johannes XXIII. (Gegenpapst)
2241,en,Antonio Salieri
2241,de,Antonio Salieri
2274,en,Arthur Eddington
2274,de,Arthur Stanley Eddington
2310,de,Arthur Miller
2310,en,Arthur Miller
2340,en,Antipope Felix II
2340,de,Felix II. (Gegenpapst)
2363,en,Alessandro Scarlatti
2363,de,Alessandro Scarlatti
2383,en,Alois Alzheimer
2383,de,Alois Alzheimer
2391,en,Akio Morita
2391,de,Morita Akio
2397,de,Anthony Hopkins
2397,en,Anthony Hopkins
2402,de,Albrecht DÃ¼rer
2402,en,Albrecht DÃ¼rer
2406,en,Alban Berg
2406,de,Alban Berg
2425,en,Aurangzeb
2425,de,Aurangzeb
2433,en,Alberto Giacometti
2433,de,Alberto Giacometti
2440,en,Albrecht Altdorfer
2440,de,Albrecht Altdorfer
2447,de,Anton Pawlowitsch Tschechow
2447,en,Anton Chekhov
2510,en,Arnulf of Carinthia
2510,de,Arnulf von KÃ¤rnten
2543,en,Alexander Kerensky
2543,de,Alexander Fjodorowitsch Kerenski
2544,en,Ansgar
2544,de,Ansgar (Erzbischof von Hamburg-Bremen)
2552,en,Adam of Bremen
2552,de,Adam von Bremen
2575,en,AndrÃ© the Giant
2575,de,AndrÃ© the Giant
2609,en,Abbas II of Egypt
2609,de,Abbas II. (Ã„gypten)
2676,en,Abd al-Rahman I
2676,de,Abd ar-Rahman I.
2678,en,Abd-ar-Rahman III
2678,de,Abd ar-Rahman III.
2681,en,AbdÃ¼laziz
2681,de,AbdÃ¼laziz
2692,en,Abdul Hamid I
2692,de,AbdÃ¼lhamid I.
2695,en,Abdur Rahman Khan
2695,de,Abdur Rahman Khan
2722,de,Anders Celsius
2722,en,Anders Celsius
2786,de,Andrei Dmitrijewitsch Sacharow
2786,en,Andrei Sakharov
2812,en,Aron Nimzowitsch
2812,de,Aaron Nimzowitsch
2847,de,Aung San Suu Kyi
2847,en,Aung San Suu Kyi
2875,en,"Archduke Charles, Duke of Teschen"
2875,de,Karl von Ã–sterreich-Teschen
2877,en,Augustine of Canterbury
2877,de,Augustinus von Canterbury
2911,en,Amr Diab
2911,de,Amr Diab
2919,en,AnaÃ¯s Nin
2919,de,AnaÃ¯s Nin
2944,en,Ariel Sharon
2944,de,Ariel Scharon
3017,en,Alexey Pajitnov
3017,de,Alexei Leonidowitsch Paschitnow
3019,en,`Abdu'l-BahÃ¡
3019,de,Ê¿Abdul-Baha'
3092,en,Akira Toriyama
3092,de,Akira Toriyama
3110,en,Andrew S. Tanenbaum
3110,de,Andrew S. Tanenbaum
3132,en,Adolphe Sax
3132,de,Adolphe Sax
3212,de,Al Capone
3212,en,Al Capone
3225,en,Athanasius of Alexandria
3225,de,Athanasius der GroÃŸe
3246,en,Anthony the Great
3246,de,Antonius der GroÃŸe
3356,de,Bill Clinton
3356,en,Bill Clinton
3382,de,Britney Spears
3382,en,Britney Spears
3395,de,Siddhartha Gautama
3395,en,Gautama Buddha
3408,de,Baruch de Spinoza
3408,en,Baruch Spinoza
3713,en,Bjarne Stroustrup
3713,de,Bjarne Stroustrup
3740,en,BjÃ¶rn Ulvaeus
3740,de,BjÃ¶rn Ulvaeus
3741,en,Benny Andersson
3741,de,Benny Andersson
3747,de,Bill Gates
3747,en,Bill Gates
3841,en,Bud Spencer
3841,de,Bud Spencer
3845,en,Brigitte Bardot
3845,de,Brigitte Bardot
3873,en,"Bernard Montgomery, 1st Viscount Montgomery of Alamein"
3873,de,Bernard Montgomery
3875,en,Benjamin Disraeli
3875,de,Benjamin Disraeli
3986,de,Benjamin Franklin
3986,en,Benjamin Franklin
3992,en,Bram Stoker
3992,de,Bram Stoker
3999,en,Benoit Mandelbrot
3999,de,BenoÃ®t Mandelbrot
4001,en,Benedict of Nursia
4001,de,Benedikt von Nursia
4010,en,Bing Crosby
4010,de,Bing Crosby
4031,en,Buckminster Fuller
4031,de,Richard Buckminster Fuller
4041,en,Bede
4041,de,Beda Venerabilis
4068,de,Blaise Pascal
4068,en,Blaise Pascal
4163,de,Bertrand Russell
4163,en,Bertrand Russell
4173,en,Babe Ruth
4173,de,Babe Ruth
4216,en,Brian De Palma
4216,de,Brian De Palma
4224,en,Bobby Charlton
4224,de,Bobby Charlton
4233,en,Berthe Morisot
4233,de,Berthe Morisot
4241,en,Bayezid I
4241,de,Bayezid I.
4242,en,Bayezid II
4242,de,Bayezid II.
4285,en,Bodhidharma
4285,de,Bodhidharma
4313,en,Benjamin
4313,de,Benjamin (Bibel)
4408,en,Buddy Holly
4408,de,Buddy Holly
4463,en,Babrak Karmal
4463,de,Babrak Karmal
4471,en,Billy Bob Thornton
4471,de,Billy Bob Thornton
4481,en,Beatrix Potter
4481,de,Beatrix Potter
4517,en,Boudica
4517,de,Boudicca
4527,en,BÃ©la BartÃ³k
4527,de,BÃ©la BartÃ³k
4537,en,Burt Lancaster
4537,de,Burt Lancaster
4551,en,Babur
4551,de,Babur
4552,en,Bernard of Clairvaux
4552,de,Bernhard von Clairvaux
4572,en,Blackbeard
4572,de,Blackbeard
4601,en,BjÃ¶rn Borg
4601,de,BjÃ¶rn Borg
4607,en,Barnabas
4607,de,Barnabas (Apostel)
4611,en,Burhanuddin Rabbani
4611,de,BurhÄnuddin RabbÄni
4649,en,Billy Crystal
4649,de,Billy Crystal
4667,de,Boris Leonidowitsch Pasternak
4667,en,Boris Pasternak
4670,en,Bruce Campbell
4670,de,Bruce Campbell
4868,en,B. F. Skinner
4868,de,B. F. Skinner
4878,en,Robert Bellarmine
4878,de,Robert Bellarmin
4980,en,Bohdan Khmelnytsky
4980,de,Bohdan Chmelnyzkyj
5033,en,Bo Diddley
5033,de,Bo Diddley
5034,en,Bela Lugosi
5034,de,Bela Lugosi
5048,en,Brigham Young
5048,de,Brigham Young
5050,en,Bill Bryson
5050,de,Bill Bryson
5132,en,Charlize Theron
5132,de,Charlize Theron
5142,de,Charles Chaplin
5142,en,Charlie Chaplin
5233,de,Carl von LinnÃ©
5233,en,Carl Linnaeus
5314,de,Karl der GroÃŸe
5314,en,Charlemagne
5635,de,Christoph Kolumbus
5635,en,Christopher Columbus
5654,en,Caspar David Friedrich
5654,de,Caspar David Friedrich
5655,en,Courtney Love
5655,de,Courtney Love
5693,en,Claude Shannon
5693,de,Claude Elwood Shannon
5698,en,Charles Babbage
5698,de,Charles Babbage
5766,en,Clement Attlee
5766,de,Clement Attlee
5768,en,Catullus
5768,de,Catull
5771,en,Christopher Marlowe
5771,de,Christopher Marlowe
5790,en,Carlo Goldoni
5790,de,Carlo Goldoni
5804,de,Charles Baudelaire
5804,en,Charles Baudelaire
5813,en,C. S. Lewis
5813,de,C. S. Lewis
5823,de,Konfuzius
5823,en,Confucius
5884,de,Charles Dickens
5884,en,Charles Dickens
6046,de,Marcus Tullius Cicero
6046,en,Cicero
6066,en,Carl von Clausewitz
6066,de,Carl von Clausewitz
6125,de,Carl Friedrich GauÃŸ
6125,en,Carl Friedrich Gauss
6140,de,Claudius
6140,en,Claudius
6176,en,Cecil B. DeMille
6176,de,Cecil B. DeMille
6185,en,Chuck Yeager
6185,de,Chuck Yeager
6195,de,Calvin Coolidge
6195,en,Calvin Coolidge
6226,en,Claudio Monteverdi
6226,de,Claudio Monteverdi
6255,en,Carl Menger
6255,de,Carl Menger
6260,de,Claude Debussy
6260,en,Claude Debussy
6290,en,Christian Goldbach
6290,de,Christian Goldbach
6452,en,Charles Martel
6452,de,Karl Martell
6532,en,Charlotte BrontÃ«
6532,de,Charlotte BrontÃ«
6542,en,CzesÅ‚aw MiÅ‚osz
6542,de,CzesÅ‚aw MiÅ‚osz
6548,de,Claude Monet
6548,en,Claude Monet
6561,en,Columba
6561,de,Columban von Iona
6585,en,Constantin BrÃ¢ncuÈ™i
6585,de,Constantin BrÃ¢ncuÈ™i
6663,en,Clyde Tombaugh
6663,de,Clyde Tombaugh
6746,en,Constantius II
6746,de,Constantius II.
6747,en,Constans
6747,de,Constans
6824,en,Carl Sagan
6824,de,Carl Sagan
6852,en,Caligula
6852,de,Caligula
6859,en,Chiang Kai-shek
6859,de,Chiang Kai-shek
6878,en,Carlos Valderrama
6878,de,Carlos Valderrama
6928,en,Colette
6928,de,Colette
6942,en,Catherine of Aragon
6942,de,Katharina von AragÃ³n
